"ID","pres","route","lat","long","off","doy","sun","Agriculture","Water","Grassland","Shrubland","Wetland","Taiga","Wet","Deciduous","Coniferous","Mixedwood","Tree","Temperature","Precipitation","Elevation","Height","doy.st","sun.st","Agriculture.st","Water.st","Grassland.st","Shrubland.st","Wetland.st","Taiga.st","Wet.st","Deciduous.st","Coniferous.st","Mixedwood.st","Tree.st","Temperature.st","Precipitation.st","Elevation.st","Height.st"
"cns-685",0,689,52.085519,-106.219114,0.0475559677332389,195,0.343840219643379,0.992885112762451,0.00711489235982299,0,0,0,0,0,0,0,0,0,258.490020751953,0.00000972866291704122,527.924682617188,3.35578465461731,0.954181703199206,-0.316863911642736,0.74273846019785,-0.207043538534547,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-1.89073943953929,-0.860999619009459,-1.33479628523515,-0.338782596909442
"cns-686",0,689,52.085761,-106.242262,0.0505916011957339,195,0.525611916051972,0.999949336051941,0.0000506338801642414,0,0,0,0,0,0,0,0,0,258.503967285156,0.00000972135603660718,531.825744628906,4.03353500366211,0.954181703199206,-0.0547172358320864,0.767661763435631,-0.354281560582564,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-1.88160813949747,-0.864022241813144,-1.31750052808337,-0.155883284041652
"cns-687",0,689,52.085723,-106.266503,0.0521178187547228,195,0.674000018702614,0.991408050060272,0,0.00859196204692125,0,0,0,0,0,0,0,0,258.517944335938,0.00000971404915617313,537.442993164062,2.26704168319702,0.954181703199206,0.15928444104216,0.737527231713271,-0.355336905936286,-0.551336714174311,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-1.87245685849276,-0.867044864616829,-1.29259588257059,-0.632593351331118
"cns-688",0,689,52.085482,-106.289962,0.0527057958331686,195,0.839123238788712,0.961367666721344,0,0.0386323295533657,0,0,0,0,0,0,0,0,258.529602050781,0.00000970796008914476,542.424255371094,2.30640292167664,0.954181703199206,0.397421093227107,0.631541682750059,-0.355336905936286,-0.417737380104785,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-1.86482413066787,-0.869563716953233,-1.27051094744694,-0.621971234379511
"cns-689",0,689,52.099939,-106.289796,0.0520865333486184,195,1.00463586979442,0.998142957687378,0,0.0018570477841422,0,0,0,0,0,0,0,0,258.508483886719,0.00000971353892964544,549.768310546875,4.64626407623291,0.954181703199206,0.636119344275447,0.761288675567761,-0.355336905936286,-0.581289079448458,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-1.8786509569894,-0.867255929017235,-1.23795032819814,0.00946923330527815
"cns-690",0,689,52.114659,-106.289544,0.0505279404203854,195,1.15346537874805,0.972062289714813,0.026801336556673,0.00113638862967491,0,0,0,0,0,0,0,0,258.490356445312,0.00000971832105278736,556.046752929688,6.40415859222412,0.954181703199206,0.850757606477863,0.669273407945742,0.203274559684716,-0.58449408628159,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-1.89051964894747,-0.86527771757813,-1.21011421218195,0.483858806873166
"cns-691",0,689,52.128711,-106.289536,0.0481026045958209,195,1.30233157853285,0.881719887256622,0.0554239973425865,0.0628561303019524,0,0,0,0,0,0,0,0,258.46923828125,0.00000972390080278274,562.348083496094,7.30501317977905,0.954181703199206,1.06544878329578,0.350536159783569,0.799847288726878,-0.310006219760299,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-1.904346475269,-0.862969553413254,-1.18217661906443,0.72696555744852
"cns-692",0,689,52.143578,-106.289517,0.0445417131689409,195,1.46779839416345,0.788954436779022,0.0929622426629066,0.118083328008652,0,0,0,0,0,0,0,0,258.448120117188,0.00000972947964328341,567.066101074219,7.94873666763306,0.954181703199206,1.30408096053547,0.0232501500558765,1.58224462144512,-0.0643928185741028,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-1.91817330159053,-0.860661765477257,-1.16125880590895,0.900682301041923
"cns-693",0,689,52.158352,-106.289522,0.0407346741577063,195,1.61660344415241,0.714519023895264,0.10249450802803,0.182986497879028,0,0,0,0,0,0,0,0,258.430023193359,0.00000973426176642533,570.21875,7.9535493850708,0.954181703199206,1.51868394861981,-0.239365609795806,1.7809225013725,0.224252793761481,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-1.93002201258571,-0.858683554038151,-1.14728121466808,0.901981072357395
"cns-694",0,689,52.172949,-106.289463,0.0360543352836567,195,1.78209274258878,0.678042352199554,0.159590348601341,0.150905430316925,0.0114618660882115,0,0,0,0,0,0,0,258.408874511719,0.00000973984151642071,572.301330566406,8.6265115737915,0.954181703199206,1.75734855000976,-0.368059043245132,2.97095237604228,0.0815777994686516,0.320297081776865,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-1.94386881987013,-0.856375389873276,-1.13804788086888,1.08358824095051
"cns-695",0,613,50.338536,-105.397334,0.031199376523828,165,-0.271604319877095,0.998306453227997,0,0,0,0.00169351522345096,0,0.00169351522345096,0,0,0,0,260.506652832031,0.00000955321320361691,567,4.69146060943604,-1.99703065119221,-1.20444290974181,0.76186550457923,-0.355336905936286,-0.589547977987015,-0.239178421536425,0.159503198883751,NA,0.159503198883751,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-0.570377430647819,-0.933577555583529,-1.16155187177761,0.021666076698289
"cns-696",0,613,50.323945,-105.397377,0.0361719419943646,165,-0.103736365040142,0.994816899299622,0,0,0,0.00518309557810426,0,0.00518309557810426,0,0,0,0,260.530151367188,0.00000955405448621605,567,4.12388038635254,-1.99703065119221,-0.962347868516466,0.74955400094218,-0.355336905936286,-0.589547977987015,-0.239178421536425,0.894174234189017,NA,0.894174234189017,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-0.554992089220685,-0.933229543871628,-1.16155187177761,-0.131502465296009
"cns-697",0,613,50.309386,-105.397328,0.0409079562360193,165,0.0641341176297914,0.991859972476959,0,0,0,0,0,0,0.00814003590494394,0,0,0.00814003590494394,260.553680419922,0.00000955489576881519,564.421752929688,4.4780158996582,-1.99703065119221,-0.720249181712484,0.739121660282339,-0.355336905936286,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.300100120918824,-0.103430984755887,-0.157351101226468,-0.309603837127179,-0.539586766830659,-0.932881532159728,-1.17298279368335,-0.035934617729461
"cns-698",0,613,50.280354,-105.396636,0.0476759104244191,165,0.349904728200702,0.988662123680115,0,0,0,0,0,0,0.0113378688693047,0,0,0.0113378688693047,260.597351074219,0.00000955645737121813,561,0,-1.99703065119221,-0.308117826360274,0.727839322223899,-0.355336905936286,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.28075643441448,-0.103430984755887,-0.157351101226468,-0.29102457615393,-0.51099400893166,-0.932235547176665,-1.18815348503034,-1.24438258417143
